 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 632 11 1 ZTF_g 481376794115 0 2.7109 86.325 12.0042 26.3352 1.63722e-05 0.0384805 -0.00715351 3.94322e-05 570 30. 0.062601 0.073829 19.6234 26.3352 1 2458235.876794 632120141 -9.07264008647275 74.4928468414006 -0.135479601967506 1.0323362617696 35.7448362860101 111.150251851303 0.32375616982959 1.16772023907388 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 20 632 11 1 ZTF_g 481442404115 0 3.347 86.2607 11.3992 26.3313 2.03204e-05 0.0415289 -0.0062103 4.8184e-05 532 30. 0.062348 0.079389 19.4992 26.3313 1 2458235.9424074 632120141 77.4335522971458 83.5358084438263 1.03112497070378 0.919989722942287 6.33238498105939 116.052921229689 0.0549321282970786 1.17999689686882 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 21 632 11 1 ZTF_g 483317614115 0 2.4666 70.7286 20.6576 26.0829 3.83573e-05 0.0461834 -0.0106584 0.000102111 385 30. 0.05524 0.073224 18.8433 26.0829 2 2458237.8176157 632120141 148.016818259649 113.718645916461 1.44788538979357 1.14879254003455 218.047901896382 177.808035933959 1.2345700007763 1.12856529800105 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 22 632 11 1 ZTF_r 488355414115 0 2.1864 171.071 8.7518 26.3421 5.5277e-06 0.0251174 0.115977 1.03968e-05 688 30. 0.055816 0.063216 20.238 26.3421 1 2458242.8554167 632120241 -111.060493163629 43.6112748787235 -2.83279805931205 1.07681341190507 -151.953613894964 72.2305818022164 -2.11789835288976 1.0946772692418 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 23 632 11 1 ZTF_g 488397214115 0 2.1536 84.377 9.06733 26.335 1.05674e-05 0.0340337 -0.0498822 2.12753e-05 664 30. 0.045427 0.056667 20.1568 26.335 1 2458242.8972106 632120141 6.96941446693248 40.0611943430763 0.193520599552938 1.09167851995941 42.9871546673749 69.8854442413259 0.61925163526013 1.07436463149818 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 24 632 11 1 ZTF_i 495315644115 0 4.6701 332.074 6.47311 25.777 4.7143e-06 0.0333047 0.191334 2.92127e-05 667 30. 0.094305 0.111716 19.4768 25.777 2 2458249.8156481 632120341 52.054006414206 56.6120309865791 1.02282239070394 1.17316171914689 285.591868614368 77.8321497024563 3.69404349462436 1.22669368714037 0.129888574100765 17.1770001983643 0.0599999986588955 3.75399994850159 0.379999995231628 2458229.006018 2458363.633657 0
 25 632 11 1 ZTF_g 495379604115 8 3.9149 83.6128 3.60186 26.3047 1.4022e-05 0.0387223 -0.00685538 2.92862e-05 660 30. 0.10061 0.096125 20.4207 26.3047 1 2458249.8796065 632120141 -210.470546999667 39.0616125370476 -5.99371326881617 1.49122952880813 -20.6114134868944 50.1213888896678 -0.413999551933446 1.3450753672754 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 26 632 11 1 ZTF_r 500364274115 0 2.154 168.956 5.24625 26.3255 4.0909e-06 0.0221399 0.11619 7.69307e-06 723 30. 0.061072 0.067488 20.7319 26.3255 1 2458254.8642708 632120241 -76.6075826089457 31.8444230930366 -2.6760435312914 1.12632974736903 -71.3501781569461 50.9823039717801 -1.40893447561176 1.11866635693297 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 27 632 11 1 ZTF_i 500379954115 0 2.132 339.023 5.30628 25.7812 1.3374e-06 0.0186039 0.187959 8.42754e-06 729 30. 0.053646 0.054851 20.1336 25.7812 2 2458254.8799537 632120341 -16.845601047377 28.7033428886957 -0.652843122224636 1.08928230439426 -65.1025050758498 50.9969053841015 -1.28519512506802 1.06037826225388 0.129888574100765 17.1770001983643 0.0599999986588955 3.75399994850159 0.379999995231628 2458229.006018 2458363.633657 0
 28 632 11 1 ZTF_g 500401164115 0 2.5238 84.4982 4.13929 26.3151 6.0217e-06 0.0268928 -0.0448556 1.13195e-05 720 30. 0.05777 0.063319 20.9789 26.3151 1 2458254.901169 632120141 -91.1685940287158 22.3274337789546 -4.54214765906566 1.10071816871503 -59.5965459296925 37.9532881324344 -1.58083620807909 1.1003683229747 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
